objectid,parentid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
cynthia_and_barry,,,,1989,,,,,,,,,,,,,,,,,,
weddingvideo_hugginsfamily,cynthia_and_barry,Wedding Video with Family,Name Unknown,1989,,matrimony; ritual,"Brooklyn, New York, USA",40.64827092,-73.92993383,,,Image;StillImage,image/png,eng,,,image,/objects/weddingvideo_hugginsfamily.png,/objects/small/weddingvideo_hugginsfamily_sm.jpg,/objects/thumbs/weddingvideo_hugginsfamily_th.jpg,,
weddingvideo_mother,cynthia_and_barry,Wedding Video with Mother,Name Unknown,1989,A still from the only moving image I have of my mother.,matrimony; ritual,"Brooklyn, New York, USA",40.64827092,-73.92993383,,,Image;StillImage,image/png,eng,,,image,/objects/weddingvideo_mother.png,/objects/small/weddingvideo_mother_sm.jpg,/objects/thumbs/weddingvideo_mother_th.jpg,,
altar_sound_2022,,Altar Sound,alea adigweme,2022,,ritual,"Los Angeles, California, USA",34.02106728,-118.4052856,,,Audio,audio/m4a,eng,,,audio,/objects/altar_sound_2022.m4a,,,,
saint_vincent,,,,,,,,,,,,,,,,,,,,,,
rfalib_1773surveymap,saint_vincent,1773 Survey Map,alea adigweme,2019,,caribbean,"Iowa City, Iowa, USA",41.66168785,-91.52697365,,,Image;StillImage,image/jpg,eng,,,image,/objects/rfalib_1773surveymap.pdf,,,,
rfalib_1970smom,,RFA and Jerrine,Name Unknown,Unknown,,caribbean,Unknown,,,,,Image;StillImage,image/jpg,eng,,,image,/objects/rfalib_1970smom.jpg,/objects/small/rfalib_1970smom_sm.jpg,/objects/thumbs/rfalib_1970smom_th.jpg,,
rfalib_1980spassportphoto,,Passport photos,Name Unknown,Unknown,,migration; mobility,"New York City, New York, USA",40.71612553,-74.031634,,,Image;StillImage,image/jpg,eng,,,image,/objects/rfalib_1980spassportphoto.jpg,/objects/small/rfalib_1980spassportphoto_sm.jpg,/objects/thumbs/rfalib_1980spassportphoto_th.jpg,,
homealtar,,Home Altar,alea adigweme,2024,,remembering; agnostic paganism; ritual,"Providence, Rhode Island, USA",41.84340726,-71.39638382,,,Image;StillImage,image/jpg,eng,,,image,/objects/homealtar.jpg,/objects/small/homealtar_sm.jpg,/objects/thumbs/homealtar_th.jpg,,
rfalib_a_ baby_my_mother,saint_vincent,"A Baby, My Mother",Name Unknown,Unknown,,caribbean,Saint Vincent,13.28034003,-61.18656669,,,Image;StillImage,image/jpg,eng,,,image,/objects/rfalib_a_ baby_my_mother.jpg,/objects/small/rfalib_a_ baby_my_mother_sm.jpg,/objects/thumbs/rfalib_a_ baby_my_mother_th.jpg,,
rfalib_ post_transplant_bible,,Post-Transplant Bible,Name Unknown,2000,,cancer,"Tampa, Florida, USA",27.95124895,-82.46258129,,,Image;StillImage,image/jpg,eng,,,image,/objects/rfalib_ post_transplant_bible.jpg,/objects/small/rfalib_ post_transplant_bible_sm.jpg,/objects/thumbs/rfalib_ post_transplant_bible_th.jpg,,
rfalib_june1974,,June 1974,Name Unknown,1974,,caribbean,Unknown,,,,,Image;StillImage,image/jpg,eng,,,image,/objects/rfalib_june1974.jpg,/objects/small/rfalib_june1974_sm.jpg,/objects/thumbs/rfalib_june1974_th.jpg,,
rfalib_mom_at_14,saint_vincent,"Carnival Tuesday, February 1969",Name Unknown,1969,,caribbean; girlhood,Saint Vincent,13.28034003,-61.18656669,,,Image;StillImage,image/jpg,eng,,,image,/objects/rfalib_mom_at_14.jpg,/objects/small/rfalib_mom_at_14_sm.jpg,/objects/thumbs/rfalib_mom_at_14_th.jpg,,
rfalib_1980sor1990s,,A Working Mother,Name Unknown,Unknown,,labour,"New York City, New York, USA",40.71612553,-74.031634,,,Image;StillImage,image/jpg,eng,,,image,/objects/rfalib_1980sor1990s.jpg,/objects/small/rfalib_1980sor1990s_sm.jpg,/objects/thumbs/rfalib_mom_at_14_th.jpg,,
rfalib_2002_funeral,,She Died.,Name Unknown,2002,,cancer; death,"Orlando, Florida, USA",28.53419043,-81.38187796,,,Image;StillImage,image/jpg,eng,,,image,/objects/rfalib_2002_funeral.jpg,/objects/small/rfalib_2002_funeral_sm.jpg,/objects/thumbs/rfalib_2002_funeral_th.jpg,,
rfalib_children_of_linda_1,saint_vincent,Linda's Kids: Grandma,Name Unknown,Unknown,,caribbean,Saint Vincent,13.28034003,-61.18656669,,,Image;StillImage,image/jpg,eng,,,image,/objects/rfalib_children_of_linda_1.jpg,/objects/small/rfalib_mom_at_14_sm.jpg,/objects/thumbs/rfalib_mom_at_14_th.jpg,,
rfalib_children_of_linda_2,saint_vincent,Linda's Kids: Eight of Nine,Name Unknown,Unknown,,caribbean,Saint Vincent,13.28034003,-61.18656669,,,Image;StillImage,image/jpg,eng,,,image,/objects/rfalib_children_of_linda_2.jpg,/objects/small/rfalib_children_of_linda_2_sm.jpg,/objects/thumbs/rfalib_children_of_linda_2_th.jpg,,
rfalib_children_of_linda_3,saint_vincent,"Linda's Kids: Grandma and Grandpa Get Married, But Not For Long",Name Unknown,Unknown,,caribbean,Saint Vincent,13.28034003,-61.18656669,,,Image;StillImage,image/jpg,eng,,,image,/objects/rfalib_children_of_linda_3.jpg,/objects/small/rfalib_children_of_linda_3_sm.jpg,/objects/thumbs/rfalib_children_of_linda_3_th.jpg,,
floorplanner_tour1_being_and_becoming,,Floorplanner: Being and Becoming,alea adigweme,2022,,agnostic paganism; ritual,"Los Angeles, California, USA",34.02106728,-118.4052856,,,Image;StillImage,image/jpg,eng,,,image,/objects/floorplanner_tour1_being_and_becoming.jpg,/objects/small/floorplanner_tour1_being_and_becoming_sm.jpg,/objects/thumbs/floorplanner_tour1_being_and_becoming_th.jpg,,